Program,Round,Project Number,Project Title,Project Description,Field of Research (FOR) - Level 1 Division Code,FOR - Level 1 Division Title,FOR - Level 2 Group Code,FOR - Level 2 Group Title,FOR - Level 3 Class Code,FOR - Level 3 Class Title,FOR - Level 4 Sub-Class Code,FOR - Level 4 Sub-Class Title,Lead Research Institution,Institution Type,City,Approval Date,Fiscal Year,Ontario Commitment,Total Project Costs,Salutation,First Name,Middle Name,Last Name,Expenditure Type,Language,Keywords,population,per_capita_funding
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44360,Onkwehonwe Research Environment (ORE),"The Onkwehonwe Research Environment (ORE) will facilitate key activities and long-term initiatives focused on advanced Indigenous arts and technology research in the areas of Media Art, Virtual and Augmented Reality and Artificial Intelligence.",RDF6040601,Indigenous Performing Arts,RDF60407,Visual arts and media arts,RDF10201,Artificial intelligence (AI),RDF1020509,"Virtual and augmented reality, and related simulations",Western University,University,London,2024-06-28 00:00:00 UTC,2024-25,258176,645442,Dr.,Jackson Two Bears,null,Leween,Capital,English,"Indigenous Arts, Indigenous Culture, Indigenous History, Indigenous Philosophy, Indigenous Heritage, Media Arts, Artificial Intelligence, Virtual Reality, Data Visualization, Creative Practice.",626875,0.411846062
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44377,"Museums, Art, and Sustainability","When it comes to climate change and mitigating waste, museums have an important role to play in educating and reaching wide audiences. However, museums themselves have large carbon footprints and waste streams. Through theoretical and materials research this proposal focuses on helping museums lessen their environmental footprints.",RDF60,Humanities and the arts,RDF60408,Curatorial and Related studies,RDF6040803,Museum studies,null,null,Western University,University,London,2024-06-28 00:00:00 UTC,2024-25,43213,108033,Dr.,Kirsty,null,Robertson,Capital,English,"museums, sustainability, contemporary art, pollution, waste, environment, curation",626875,0.068933998
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44381,Targeting translation for tissue regeneration and repair.,"Unlike humans, axolotl salamanders regrow entire body parts, regenerate tissues and scarlessly seal wounds by controlling when and where “band aid” proteins that promote healing are made. This proposal will establish Canada’s first transgenic axolotl facility to identify new therapeutic targets to stimulate tissue regeneration and repair in humans",RDF30,"Medical, Health and Life Sciences",RDF304,Medical biotechnology,RDF30401,Medical biotechnology,RDF3040104,Regenerative medicine (including stem cells and tissue engineering),The Hospital for Sick Children,Research hospital,Toronto,2024-06-28 00:00:00 UTC,2024-25,515757,1289393,Dr.,Olena,null,Zhulyn,Capital,English,"regeneration, tissue repair, tissue rejuvenation, axolotl, mouse, ribosome, translation, protein synthesis, mTOR, stem cells, animal models of regeneration",7109866,0.07254103
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44382,Heterochromatin regulation in development and inheritance,"When the genetic material, the genome, is not packaged properly, cells cannot fully perform their functions and diseases can arise, including cancers and brain disorders. The goal of this research is to understand in finer detail the processes and factors that control genome packaging and how they affect reproduction and brain development.",RDF10,Natural Sciences,RDF106,Biologicial Sciences,RDF10606,Genetics,RDF1060607,Gene regulation and expression,University of Toronto,University,Toronto,2024-06-28 00:00:00 UTC,2024-25,160000,403300,Dr.,Arneet,L.,Saltzman,Capital,English,"chromatin, epigenetics, small RNAs, gene regulation, Polycomb, neuronal development, C. elegans",7109866,0.02250394
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44383,Biointerfacing Materials for Drug Delivery Lab,This research program aims to develop novel biomaterial drug delivery systems for improved treatment of chronic diseases. These biomaterials are dynamic and interact with biological markers for treatments that can control the location and timing of drug delivery.,RDF20-21,Engineering and technology,RDF207,Medical and biomedical engineering,RDF20701,Medical and biomedical engineering,RDF2070101,Biomedical materials,University of Toronto,University,Toronto,2024-06-28 00:00:00 UTC,2024-25,150000,375000,Dr.,Caitlin,null,Maikawa,Capital,English,"Drug Delivery, Biomaterials, Polymers",7109866,0.021097444
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44389,"NMR tools to enable innovative molecule, material, and process design","Infrastructure is sought to enable the discovery of new organic molecules, including new catalysts to enable greener chemical synthesis and more rapid discovery of pharmaceuticals, new biological probe molecules to understand and inhibit radical-induced cell death, and new imaging agents to map inflammation and disease.",RDF10,Natural Sciences,RDF104,Chemical Sciences,RDF10403,Organic chemistry,RDF1040303,Organic chemical synthesis,University of Ottawa,University,Ottawa,2024-06-28 00:00:00 UTC,2024-25,416750,1041875,Dr.,Stephen,null,Newman,Capital,English,"NMR Spectroscopy, chemical synthesis, structure elucidation, molecular design",1291272,0.322743775
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44392,Curating Reconciliation through XR Immersive Technologies,"Curating Reconciliation will mobilize Indigenous storytelling and performance through three Indigenized extended-reality technology infrastructures. Virtual reality exhibition galleries, geotagged smartphone APPs, and an interactive archives kiosk will facilitate cross-cultural encounters for knowledge sharing and community relationship building.",RDF60,Humanities and the arts,RDF604,"Arts (arts, history of arts, performing arts, music), architecture and design",RDF60408,Curatorial and related studies,RDF6040899,"Curatorial artworks and related studies, n.e.c.",York University,University,Toronto,2024-06-28 00:00:00 UTC,2024-25,83308,212095,Dr.,Anna,null,Hudson,Capital,English,"igital culture; curation; museology; XR technologies; virtual and augmented reality; Indigenous art, culture, performance, and storytelling; settler/diaspora",7109866,0.011717239
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44419,Console for 15.2 T preclinical MRI,"Translating biological findings from mouse to human is essential for drug discovery research in Alzheimer's and other disorders. MRI is a critical tool in this translation, but because the mouse brain is X2600 smaller, imaging live mice with the equivalent resolution to humans requires the specialized MRI equipment requested in this proposal.",RDF30,"Medical, Health and Life Sciences",RDF301,Basic medicine and life sciences,RDF30104,"Neurosciences, medical and physiological and health aspects",RDF3010414,Neurodegeneration,Western University,University,London,2024-06-28 00:00:00 UTC,2024-25,800000,2325375,Dr.,Ravi,null,Menon,Capital,English,"fMRI, structural MRI, radio frequency coils, neurochemistry, optogenetics, chemogenetics, mouse models, neurodegeneration, cognition, drug discovery",626875,1.276171486
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44429,Sex and sex-specific factors influencing brain health across the lifespan,"Sex differences exist in brain disease, yet research targeting sex as a factor in brain health is scarce. The proposed research program fills key knowledge gaps to generate tailored treatments for brain disease, establishing how sex and stress – and their related hormones – influence brain health in depression and Alzheimer's disease.",RDF1061105,Behavioural neuroscience of learning and memory,RDF3010417,"Neurogensesis and plasticity, medical and health aspects",RDF3010416,Neuroinflammation,null,null,Centre for Addiction and Mental Health,Research hospital,Toronto,2024-06-28 00:00:00 UTC,2024-25,800000,2000000,Dr.,Liisa,null,Galea,Capital,English,"sex differences, hormones, stress, aging, Alzheimer model, postpartum, reproductive experience, females, depression, neurogenesis, functional connectivity",7109866,0.112519701
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44441,Scalable Biomanufacturing for a Net-Zero Economy,A novel scaling approach for biomanufacturing will be created to support the development of low-carbon chemical production. State-of-the-art monitoring equipment will be used to generate predictive performance models. These will be applied to the optimization of microbial polymer production using carbon dioxide (CO2)-derived feedstocks.,RDF20-21,Engineering and technology,RDF210,Industrial Biotechnoology,RDF21001,Industrial Biotechnology,RDF2100102,"Bioprocessing, bioproduction and bioproducts",University of Waterloo,University,Waterloo,2024-06-28 00:00:00 UTC,2024-25,84721,214457,Dr.,Christian,null,Euler,Capital,English,"Metabolic engineering, bioprocess engineering, process modelling,biotechnology, circular economy, bioplastics",699402,0.121133483
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44446,Exercise and Environmental Physiology Laboratory,"Through establishing an Exercise and Environmental Physiology Laboratory, Dr. Mündel will realise what regulates body temperature, and how, across the human lifespan considering sex-specific responses when faced with extreme internal and external environments.",RDF30,"Medical, Health and Life Sciences",RDF301,Basic medicine and life sciences,RDF30107,Musculoskeletal health and human movement,RDF3010704,Excerise Physiology,Brock University,University,St. Catharines,2024-06-28 00:00:00 UTC,2024-25,205000,512500,Dr.,Toby,null,Mundel,Capital,English,"Exercise Physiology, Environmental Physiology, Heat Stress, Temperature Regulation, Caloric Restriction, Ovarian Hormones, Detection & Prediction of Heat Strain",493608,0.415309314
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44467,Next-Generation Operation and Management of Urban Mobility,"This research project examines how transportation could change in the future and helps Canada develop a safer and greener transportation infrastructure.  It focuses on improving incident management, testing new transportation technologies, and developing strategies for autonomous mobility.",RDF20-21,Engineering and technology,RDF201,"Civil engineering, maritime engineering, transport engineering, and mining",RDF20103,Land transportation systems engineering,null,null,Western University,University,London,2024-06-28 00:00:00 UTC,2024-25,200000,500000,Dr.,Mohamed,null,Zaki Hussein,Capital,English,"Smart mobility operations and intelligent transportation systems, autonomous vehicles safety, automated traffic incident management, active mobility",626875,0.319042871
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44472,Injectable filamentous hydrogels for regenerative medicine,"Dr. Prince's team will develop customizable injectable hydrogels that mimic the nanostructure, properties, and biochemistry of human tissues. They will develop new methods to synthesize these hydrogels and study their structure-property relationships. The injectable hydrogels will be used to promote tissue healing and regeneration.",RDF20-21,Engineering and technology,RDF207,Medical and biomedical engineering,RDF20701,Medical and biomedical engineering,RDF2070101,Biomedical materials,University of Waterloo,University,Waterloo,2024-06-28 00:00:00 UTC,2024-25,92689,258712,Dr.,Elisabeth,null,Prince,Capital,English,"Polymer synthesis, Materials characterisation, Hydrogels, Biomaterials,Injectable biomaterials,",699402,0.132526072
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44473,The Fractured Rock and Cryo-hydrogeology Lab,"New tools and techniques will be developed to better study groundwater flow and contaminant transport in the bedrock that dominates cold regions across Canada. The hydrological and frozen processes studied aim to support the safety and sustainability of groundwater resources needed for drinking water, agriculture, and industry in Ontario.",RDF10,Natural Sciences,RDF105,Earth & related environmental sciences,RDF10507,Hydrology,RDF1050705,Hydrogeology,Queen's University,University,Kingston,2024-06-28 00:00:00 UTC,2024-25,100000,255406,Dr.,Stephanie,null,Wright,Capital,English,"Fractured rock hydrogeology, Cryo-hydrogeology, Permafrost thaw, Climate change adaptation, Isotope hydrogeology, Numerical modelling, Water resources,",192395,0.519764027
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44474,"Bioenergy & value-added products from Non-conventional Organic Wastes, Toward Circular Economy/Climate Change Adaptation","By developing technologies for bioenergy production, the extraction of value-added products, and nutrients from diverse organic waste sources, this research project aims to contribute to Ontario's energy security, sustainable waste management, climate change adaptability, and clean-tech (low-carbon) industry development.",RDF20-21,Engineering and technology,RDF208,Environmental engineering and related engineering,RDF20801,Environmental engineering,RDF2080107,Waste management (including agricultural waste),University of Ottawa,University,Ottawa,2024-06-28 00:00:00 UTC,2024-25,391264,978160,Dr.,Majid,null,Sartaj,Capital,English,"Circular Economy, Climate change, Bioenergy, Bio-hydrogen, Biomethanation, Anaerobic digestion, Dark Fermentation, Lignocellulosic Waste, High nitrogen Waste, Value -added products.",1291272,0.303006648
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44478,Laboratory for Low-Carbon Energy Infrastructure,"The project addresses geotechnical challenges specific to low-carbon nuclear energy, ensuring its safe implementation, public acceptance, and long-term sustainability. The outcomes will inform sustainable management of uranium tailings, foundation structures for small modular reactors (SMRs), and nuclear waste disposal.",RDF20-21,Engineering and technology,RDF201,"Civil engineering, maritime engineering, transport engineering, and mining",RDF20101,Civil engineering,RDF2010101,Geotechnical engineering,University of Ottawa,University,Ottawa,2024-06-28 00:00:00 UTC,2024-25,540275,1350688,Dr.,Mamadou,null,Fall,Capital,English,Geotechnical engineering; deep geological disposal of nuclear waste; nuclear energy; geoenvironmental engineering; soil mechanics; coupled processes in geotechnical systems.,1291272,0.418405262
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44484,Impacts of environmental change on organismal movement,"Dr. Baines’ research, in the lab and natural environments, will respond to the current biodiversity crisis in Ontario by 1) determining how to promote the movement of native animal species impacted by climate change and habitat destruction and, 2) impeding the spread of invasive species and parasites.",RDF10,Natural Sciences,RDF106,Biologicial Sciences,RDF10603,Ecology (except applications),RDF1060307,Population ecology,University of Toronto,University,Toronto,2024-06-28 00:00:00 UTC,2024-25,212000,530000,Dr.,Celina,null,Baines,Capital,English,"dispersal, environmental change, habitat fragmentation, population persistence, population spread, host-parasite, invertebrate, model organism",7109866,0.029817721
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44494,Machine learning for nanoporous materials design,"The Artificial Intelligence for Chemical Science research group is at the forefront of developing computational and machine learning methods to accelerate materials design and discovery. Our paramount objective is to drive innovative solutions to mitigate carbon emissions, with an emphasis on carbon capture and hydrogen storage.",RDF20-21,Engineering and technology,RDF205,Chemical Engineering,RDF2050101,Carbon capture engineering,RDF10407,Computational and theoretical chemistry,University of Toronto,University,Toronto,2024-06-28 00:00:00 UTC,2024-25,100000,250000,Dr.,Seyed Mohamad,null,Moosavi,Capital,English,"Materials Design and Discovery, Machine Learning, Molecular Simulation, Nanoporous materials, Metal-Organic Frameworks, Artificial Intelligence, Carbon Capture, Hydrogen, High-performance computing",7109866,0.014064963
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44501,Indigenous Digital Dialogue Lab,"The Indigenous Digital Dialogue Lab will enable the recording, sharing, and preserving of Indigenous stories and languages. This innovative audio and video research infrastructure will provide a unique hub for community engagement with digital scholarship, representing an important investment in Indigenous media and knowledge.",RDF60,Humanities and the arts,RDF604,"Arts (arts, history of arts, performing arts, music), architecture and design",RDF60407,Visual Arts and Media Arts,RDF6040706,Digital Arts,McMaster University,University,Hamilton,2024-06-28 00:00:00 UTC,2024-25,75000,200082,Dr.,Chelsea,null,Gabel,Capital,English,"Indigenous digital storytelling and literacy laboratory; Indigenous health and well-being, digital technology, community engagement,Indigenous research methods, arts-based research methods",862679,0.086938479
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44547,Investigating glial-mediated purinergic dysfunction in neurodevelopmental disorders,"This proposal focuses on gaining new insights into the underlying mechanisms of neurodevelopmental disorders, such as autism spectrum disorder, in children.  Dr. Scott's work focuses on correcting cellular and molecular deviations within the brain in order to develop new treatment approaches for this growing health care challenge.",RDF30,"Medical, Health and Life Sciences",RDF301,Basic medicine and life sciences,RDF30104,"Neurosciences, medical and physiological and health aspects",RDF3010418,Glial Cell Studies,University of Guelph,University,Guelph,2024-06-28 00:00:00 UTC,2024-25,79429,199841,Dr.,Angela,null,Scott,Capital,English,"glial cells, neurodevelopmental disorders, network activity mapping, calcium imaging, blood flow, behavioural analysis, drug discovery, purinergic signalling",182615,0.434953317
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44569,Nanobubble-aided advanced photocatalytic treatment for emerging contaminant removal,"This program will develop innovative and feasible nanobubble-aided advanced photocatalytic treatment systems to remove emerging microbial and chemical contaminants to benefit Canadian municipal water supplies and small, rural, and remote communities.",RDF20-21,Engineering and technology,RDF208,Environmental engineering and related engineering,RDF20801,Environmental engineering,RDF2080105,Wastewater treatment (including water treatment processes),Queen's University,University,Kingston,2024-06-28 00:00:00 UTC,2024-25,100000,264744,Dr.,Xiaying,null,Xin,Capital,English,"Nanobubbles, Advanced Oxidation Processes, Nanofiltration, ZIF, Emerging Microbial and Chemical Contaminants, Climate Change",192395,0.519764027
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44578,Identification and quantification of organic molecules from microbial ecosystems,A gas chromatograph–mass spectrometer (GC/MS) will be used to characterize microbial diversity and interactions within complex microbial ecosystems. Results will be used to help advance microbiology-derived biotechnological solutions to environmental issues and astrobiology site selection,RDF10,Natural Sciences,RDF106,Biologicial Sciences,RDF10607,Microbiology,RDF1060709,Environmental microbiology (including air microbiology),Carleton University,University,Ottawa,2024-06-28 00:00:00 UTC,2024-25,75001,223017,Dr.,Allyson,null,Brady,Capital,English,"mass spectrometry, gas chromatography, microbial ecology, lipid, biomarker, bioremediation, astrobiology",1291272,0.058083038
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44583,Characterizing Mechanisms of Thrombosis and Hemostasis using Multiphoton Intravital Microscopy,This research project will expand investigation of mechanisms of thrombosis and hemostasis. The proposed infrastructure will allow the study of large vessels where these conditions occur. This will identify novel pathways and targets for drug development to improve the treatment of patients with thrombosis or bleeding disorders.,RDF30,"Medical, Health and Life Sciences",RDF302,Clinical Medicine,RDF30201,Cardiorespiratory Medicine and Hematology,RDF3020102,Hematology (Subclass),McMaster University,University,Hamilton,2024-06-28 00:00:00 UTC,2024-25,479927,1199818,Dr.,Peter,L.,Gross,Capital,English,"coagulation, bleeding, thrombosis, arterial thrombosis, venous thrombosis, hemophilia, hemarthrosis",862679,0.556321645
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44608,Structural and functional assessments of diabetic skin microvasculature using photoacoustic imaging,Diabetes-induced changes in microvasculature cause serious complications. Our project will develop a new photoacoustic imaging technology to concurrently assess microvasculature structure and function in the skin. We will apply the technology to measure diabetes complications.,RDF20-21,Engineering and technology,RDF207,Medical and biomedical engineering,RDF2070103,Biomedical instrumentation (including diagnostics),null,null,Unity Health Toronto,Research Hospital,Toronto,2024-06-28 00:00:00 UTC,2024-25,102936,257340,Dr.,Eno,null,Hysi,Capital,English,"diabetic microvasculature, photoacoustic imaging, frequency domain analysis, radio frequency signal, signal processing",7109866,0.01447791
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44618,Establishment of an AI-guided Personalized Medicine Discovery Facility,This proposal seeks to fund equipment for a new personalized medicine lab. Advanced artificial intelligence (AI)-models will recommend off-patent drugs to treat patient leukemia.  We will then experimentally test the efficacy of these drugs a novel tissue engineered platform to culture patient leukemia cells to validate the AI-model.,RDF30,"Medical, Health and Life Sciences",RDF20-21,Engineering and technology,RDF10,Natural sciences,null,null,York University,University,Toronto,2024-06-28 00:00:00 UTC,2024-25,140000,424369,Dr.,Eleftherios Terry,null,Sachlos,Capital,English,"personalized medicine, artificial intelligence, acute myeloid leukemia, drug screening, tissue engineering, regenerative medicine, AI fairness model",7109866,0.019690948
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44634,Automation of functional genomics,"This proposal is to drive innovation and discovery by implementing laboratory automation that will increase the speed, scale and data quality of our research. Workflows spanning protocol iterations during technology development to essential high-frequency assays would be automated to accelerate University of Windsor led research.",RDF10,Natural Sciences,RDF106,Biologicial Sciences,RDF10606,Genetics,RDF1060609,Genomics,University of Windsor,University,Windsor,2024-06-28 00:00:00 UTC,2024-25,75001,195078,Dr.,Brian,null,DeVeale,Capital,English,"laboratory automation, genomics, CRISPR screening, cancer diagnosis and treatment",484698,0.154737589
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44638,The Audience Experience Lab: Transforming Digital Media Production for Film and Games,"We seek to better understand how film and game language affect audience understanding and enjoyment of media. Using this knowledge, we will further explore how Artificial Intelligence technologies can improve the process of creating films and games, allowing Ontario’s vibrant media production industry to create better content at lower cost.",RDF10,Natural Sciences,RDF102,Computer and Information sciences,RDF10205,Human-centered computing,RDF1020501,Human-computer interaction,Carleton University,University,Ottawa,2024-06-28 00:00:00 UTC,2024-25,76500,192080,Dr.,David,null,Thue,Capital,English,"Digital Media Production, Applied Artificial Intelligence, Game Design, Film Language, Co-Creative Tools",1291272,0.059243908
Ontario Research Fund - Research Infrastructure,Small Infrastructure Fund - Round 059 - 2023 - November,44649,The cell-type-specific regulation of mRNA translation in health and disease,"The proposal aims to investigate the impact of mRNA translation dysregulation on cellular functions and its correlation with various diseases. The requested equipment setup at UWindsor examines cells’ physiological and behavioral attributes in neuronal communication, sensory perception, and circadian rhythms in health and disease.",RDF30,"Medical, Health and Life Sciences",RDF106,Biologicial Sciences,null,null,null,null,University of Windsor,University,Windsor,2024-06-28 00:00:00 UTC,2024-25,75001,198011,Dr.,Vijendra,null,Sharma,Capital,English,"mRNA translation, protein synthesis, synaptic plasticity, learning and memory, electrophysiology, cell signaling, neuroscience, neurodegenerative disorders",484698,0.154737589
Ontario Research Fund - Research Excellence,Research Excellence - Round 12,RE012-002,Improving Cancer and Alzheimer's Disease Diagnosis and Treatment Through Cutting-edge Molecular Imaging and Theranostics,"We will create advanced PET imaging and analysis software to detect early brain degeneration leading to dementia. Additionally, we will develop software to improve tumor treatment with radiation, optimizing cure potential while minimizing complications.",RDF30,"Medical, health and life sciences",RDF302,Clinical medicine,RDF30202,Clinical sciences,RDF3020218,"Radiology, nuclear medicine and medical imaging",Lawson Health Research Institute,Research Institute,London,2024-07-17 00:00:00 UTC,2024-25,1998568,7157083,Dr.,Ting-Yim,null,Lee,Operating,English,"PET Imaging, Targeted Radionuclide Therapy, Pharmacokinetic Modeling, Personalized Dosimetry, Alzheimer's",626875,3.188144367
Ontario Research Fund - Research Excellence,Research Excellence - Round 12,RE012-006,The Single-Surgery Multipurpose AntimicRobial ImplanT (SMART) Design Program to Improve Treatment for Periprosthetic Joint Infections (PJIs),"Periprosthetic joint infection (PJI) occurs when bacteria infect total joint replacements following surgery, and requires multiple surgeries for treatment. Our goal is to develop a Single-surgery Multipurpose AntimicRobial implanT (SMART) device that can stop these infections and preserve patient mobility.",RDF20-21,Engineering and technology,RDF207,Medical and biomedical engineering,RDF20701,Medical and biomedical engineering,RDF2070104,Medical devices,Ottawa Hospital Research Institute,Research Hospital,Ottawa,2024-07-17 00:00:00 UTC,2024-25,2000000,6000000,Dr.,Hesham,null,Abdelbary,Operating,English,"Titanium implant, surface coating, bacteriophage, biofilm, Staphylococcus aureus, antibiotics, prosthetic joint infection",1291272,1.548860349
Ontario Research Fund - Research Excellence,Research Excellence - Round 12,RE012-009,MRI-Compatible Innovations for Neuromodulation,"UHN is partnering with Synaptive Medical to build innovative MRI technology to realize the promise of neuromodulation therapy, the use of implanted devices to precisely treat neurological disorders, transforming care for conditions like epilepsy and Parkinson's.",RDF20-21,Engineering and technology,RDF207,Medical and biomedical engineering,RDF20701,Medical and biomedical engineering,RDF2070104,Medical Devices,University Health Network,Research Hospital,Toronto,2024-07-17 00:00:00 UTC,2024-25,1915633,5772524,Dr.,Ian,null,Connell,Operating,English,"Magnetic Resonance Imaging (MRI), MRI Engineering, Biomedical Engineering, Neuromodulation, Neurology, Brain ",7109866,0.269433067
Ontario Research Fund - Research Excellence,Research Excellence - Round 12,RE012-013,Development of Smart Salt Truck Technology for Improved Road Safety and Protection of Salt Vulnerable Areas,"             We aim to develop the next-generation of smart salt trucks for precision salt application, with real-time mobile road weather and surface monitoring to achieve higher road safety, reduced risk of traffic accidents, and better protection of salt vulnerable areas.",RDF20801,Environmental engineering,RDF20101,"Civil engineering, maritime engineering, transport engineering, and mining",RDS102,Environmental protection,RDF2010304,Road safety engineering,University of Guelph,University,Guelph,2024-07-17 00:00:00 UTC,2024-25,639000,2071552,Dr.,Bahram,null,Gharabaghi,Operating,English,Winter Road Maintenance; Smart Salt Trucks; Road Safety; Road Salt; Salt Vulnerable Areas; Sustainability,182615,3.49916491
Ontario Research Fund - Research Excellence,Research Excellence - Round 12,RE012-014,Improving environmental effects biomonitoring in freshwater ecosystems: A comparison of morphology-based and DNA-based approaches," This project will transform Ontario's capacity for mandatory biomonitoring in the natural resource sector by advancing DNA-based approaches to benthic invertebrate identification and analysis. Compared to current methods, these approaches will enable more rapid detection of impacts, improve reproducibility, and dramatically reduce costs.",RDF10,Natural Sciences,RDF106,Biological Sciences,RDF10604,Ecological Applications,RDF1060402,Ecosystem Function,University of Guelph,University,Guelph,2024-07-17 00:00:00 UTC,2024-25,1149369,3448457,Dr.,Robert,null,Hanner,Operating,English,"genomics, biomonitoring, DNA barcoding, eDNA metabarcoding, bioinformatics, environmental protection",182615,6.29394628
Ontario Research Fund - Research Excellence,Research Excellence - Round 12,RE012-022,"Making Ontario Buildings Smart: Driving adoption through scalable technology advances and novel business
strategies.","A multi-disciplinary consortium will develop a Pathway to Smart Building Adoption for Ontario to become a global leader in smart buildings. This proposal integrates new technology, innovation management, and implementation strategies to develop new products and build technical capacity for Ontario to lead the Smart Buildings market.",RDF20-21,Engineering and technology,RDF203,"Electrical engineering, computer engineering",RDF20302,Communications and networks technologies,RDF2030204,Internet of Things,Toronto Metropolitan University,University,Toronto,2024-07-17 00:00:00 UTC,2024-25,1977500,9800042,Dr.,Jennifer,null,McArthur,Operating,English,Smart Building; Systems Integration; Sustainability; Optimization; Human-Building Interaction; Decarbonization,7109866,0.278134637
Ontario Research Fund - Research Excellence,Research Excellence - Round 12,RE012-023,Utilizing novel geometric based deep learning and CAD tools to facilitate model fabrication for additive manufacturing processes,"Problematic CAD files cannot be built by 3D Printing without time-consuming remodeling. This has been identified as a significant issue. This project will provide a suite of CAD software solutions for the auto-mobility, aerospace, and medical industries, among others. ",RDF20-21,Engineering and technology,RDF102,Computer and information sciences,RDF10202,Theoretical computer science and computational mathematics,,,Toronto Metropolitan University,University,Toronto,2024-07-17 00:00:00 UTC,2024-25,612434,1837304,Dr.,Yeganeh,null,Bahoo Torudi,Operating,English,"Additive Manufacturing, CAD, Artificial Intelligence, Computational Geometry, Reverse Engineering, Manufacturing",7109866,0.086138614
Ontario Research Fund - Research Excellence,Research Excellence - Round 12,RE012-024,"Fintech Solutions for Financial Resilience in Ontario Homes, Workplaces and Schools","Financial wellness is a complex topic that have not been thoroughly studied through a data driven, financial modelling inclusive lens. With the assistance of machine learning, we will examine these data sources and look for subtle relationships and trends. The outcomes will be financial insights and solutions (Fintech) deployed for the benefit of all Canadians and the country as a whole.",RDF10,Natural Sciences,RDF101,Mathematics & Statistics,RDF10103,Statistics,RDF1010308,Actuarial Science and Mathematical Finance,Western University,University,London,2024-07-17 00:00:00 UTC,2024-25,1997800,5993352,Dr.,Matt,null,Davison,Operating,English,"Artificial Intelligence, Machine Learning, Fintech, Financial Wellness, Financial Resilience",626875,3.186919242
Ontario Research Fund - Research Excellence,Research Excellence - Round 12,RE012-026,"SITE-CAV: Secure, Intelligent and Trustworthy Ecosystem of Connected and Autonomous Vehicles","SITE-CAV will develop efficient and reliable communication protocols integrated with security-by-design frameworks; along with smart, user friendly and legal-aware decision support. This will help ensure Ontario develops connected and autonomous transportation systems to handle increased traffic, while reducing emissions. ",RDF20-21,Engineering and Technology,RDF203,"Electrical engineering, computer engineering, & information engineering",RDF20302,Communications and networks technologies,RDF2030212,Cyber-physical systems,University of Ottawa,University,Ottawa,2024-07-17 00:00:00 UTC,2024-25,999985,4337311,Dr.,Burak,null,Kantarci,Operating,English,"connected/autonomous vehicles, cybersecurity, 5G, network resilience, intelligent transportation, AI/ML, human fact",1291272,0.774418558
